Asin,UserName,Rating,Subject,ReviewDate,Review,feedback
B008IFXQFU,SahilGoel,5,Not for Kali Linux users,Reviewed in India on 18 March 2018,As of 2017 the V1 has been discontinued and only the V2 is being shipped. If you are looking for an adapter for Kali Linux then this wont work but if you are looking for a replacement in windows 10 then this is the best so far. It shows you routers from like a kilometer away which you didn't even know existed.,1
B008IFXQFU,Gopal,1,Poor signal detection on Ubuntu machine,Reviewed in India on 5 September 2018,"Bought tp-link Wireless N USB Adapter . Since it is amazone's choice .Noticed that the tp-link Wireless N USB  detection is weak detecting the wifi signal,Ordered a new tp-link wifi . Still surprised  to see tp-link Wireless N USB Adapter is not able to detect tp-link wifi.Then i ordered tp-link extender thinking that the distance is more then 40 feet.TP-Link wireless adapter is not still working as expected.Since this exercise took more then 3 month , now i can't return my TP-Link wireless adapter",0
B008IFXQFU,Ram,5,Excellent! TP-Link does it again!,Reviewed in India on 17 May 2019,"Short version: Need a network speedup for that older laptop or desktop with no wired connection available? Get this and be happy.It's not often that a particular brand turns out to be good every single time, but TP-Link is one that does. Bridge, WAP, NIC, Gigabit switch, and now this USB wifi adapter. I'm 5 for 5 being very happy with a TP-Link purchase. This 802.11n adapter did exactly what I hoped it would. I have an older laptop with built in 802.11g. I use it with a treadmill desk, and for some reason, even though ""g"" is faster than my ISP, with that old laptop, I only get about half the speed I do with wired Ethernet. So I too a chance. It worked. Now speedtest.net reports the same Internet speeds on my wireless laptop as my wired desktop. Youtube treadmill videos stream better than ever and don't hiccup when a large email is downloading at the same time.The only way installation could have been easier would have been if Amazon had someone open the package for me. I plugged it it, selected my local wifi connection, typed the wireless key, and we're ready to rock 'n roll. A mini-CD came with the adapter, but I didn't need it with Windows 10. The adapter comes with a cap, in case you need to remove and store it. Activity light confirms it's moving data.",1
B008IFXQFU,Pavan,4,Channel Incompatibility.,Reviewed in India on 23 May 2020,"I wanted to use this product for my desktop. But it wasn't recognising my Mobile hotspot. After digging a bit in the TP-Link User community, I found out this adapter is made for the US region that supports channels from 1 to 11 @2.4 Ghz. My mobile hotspot uses channel 13 and i couldn't change it in the settings as i am running stock android.There is a same adapter made for European market that supports channel 1 to 13. But this EU adapter isn't available in India as per my conversation with Amazon Customer Service.Hence I'm returning this.",1
B008IFXQFU,Shannon Kotian,4,Best WiFi USB adapter!,Reviewed in India on 1 January 2019,"Best WiFi USB adapter for desktop/laptop. Just plug the device to USB port of your PC and install the drivers from the CD provided. The adapter will start searching nearby WiFi signals automatically when it finishes installing necessary drivers. I am using this adapter in my desktop and connected to the rear USB port of the motherboard for high stability. There is no signal drop issues till now and upload speed and download speed is very good. There is a green color LED light which shows the status of the adapter. Due to nano design, the internal antenna is very small to catch weak WiFi signals. I don't prefer this if you are planning to buy this WiFi adapter if there is larger distance between your WiFi router and WiFi adapter.It will not be able to detect the WiFi network or there might be frequent disconnection issues.For smaller distance this WiFi adapter will work fine.",1
B008IFXQFU,Gam3rNash,5,Quality for the price,Reviewed in India on 18 February 2017,"Works well. Good design. Compact. No issues till now. The indicator led is a good feature and not annoyingly bright even in the dark. Integrates into the os well, can use the taskbar buttons to turn on and off. Its not necessary to install the wifi utility program.  Cd worked correctly and installed drivers without any issues.  Overall very satisfied with the product.",1
B008IFXQFU,Pritam Assrani,1,(Maybe) A good product but didn't work for me.,Reviewed in India on 31 January 2019,Although this product had a good rating with many satisfied customers and more than many 4 5 star reviews I was not satisfied with my purchase. This wireless adaptor refused to connect to my Wi-Fi SD card in my camera. I bought this to replace my 10 year old D-Link USB Wi-Fi adaptor. It's connected easily to my Wi-Fi network. But I just could not connected to my Wi-Fi SD card in the camera. I ended up buying an edimax Nano Wi-Fi adaptor which worked seamlessly and was a five star product for me.,0
B008IFXQFU,vive un legado,1,It is not plug-n-play... you need to install drivers for any version of windows (including 10),Reviewed in India on 17 July 2020,"On windows 10 it initially found working straightaway without installing device drivers.We specifically purchased it for this plug-n-play support (since all chinease devices are known to have firmware and driver vulnerabilities).But soon we found the device intermittently not working, even pings were timing out.Later found, windows 10 was not using correct driver (used Realtek one).Then we removed that driver for this device, and found Windows 10 could not identify the device manufacturer or device id properly.Downloaded the software online. And installed it. THen device working okay. (But this was not expected).Next found the range is very minimal and lots of retransmits keep happening.felt N300 feature may not be working fine on this device.Never used as a hotspot. Recommend not to use that way... do not trust the device driver installed!!Will throw away once a better one available in market for our Desktop PC.",0
B008IFXQFU,Prasenjit Das,3,Issue is not 100% resolved,Reviewed in India on 27 August 2020,Recently my 6 year old laptop developed connectivity issues with modem. I thought the inbuilt adapter must be damaged hence I purchased this product. Currently I see the laptop connects to wifi with inbuilt adapter sometimes. There are occassions when it does not connect but after plugging this device it gets connected. However there are days when everything fails and I need to restart the modem or use datacard.I gave 3* as my issue is not completely solved however the product might be fine. My issue could be laptop h/w related.,2
B008IFXQFU,Aayush,5,"Supports Kali(Packet injection, monitor mode, wps) , Windows 10, Mac OS , Android.",Reviewed in India on 25 June 2020,"It is very good product. It supports windows 10 , Mac OS , and also Kali which is great. And I also try it on android and it does support for it also.Good Strength.Easy to use.If your laptop doesn't have CD Slot then you can easily download the driver from the tp-link website.Also, It supports packet injection , and also monitor mode and works like charm.And this is V3.2 not V1, V2.So V3.2 supports kali, packet injection, monitor mode.",1
B008IFXQFU,N-tiger,5,A great Product by TPLink,Reviewed in India on 27 January 2019,"Size and Design:The best part about this is that it is very compact in size and very sober and elegant in design. This is a big plus as it is easy plug in and use, add to it the good sober design.Build Quality:The build quality is undoubtedly superb. Just no qualms about that, at all. When held, it doesnt give off that cheap and flimsy product-like feeling. It is good sturdy with its build quality.Packaging:This part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation. This ensures that I as a customer have received something not damaged internally already.Software:This is actually good but not great part with the product.The good part is that a CD has been provided with it along with a manual.The not great part is that NO LINUX SUPPORT has been given from Version 2 onwards. This is bad, really.Speed:It easily supports net speeds upto 300 Mbps. Practically speaking, I have tested it at my home and it easily supports net speed of over 100-150 Mbps without a sigh.On testing I found that it did connect to 5GHz network, without any issue.Connectivity:Please mark its not feet its metres. Multiply metres x 3 to get the distance in feet.It easily connects to my laptop or phone from 7 metres across one room. So thats 21 feet. I mean even our old bluetooth used to connect to about 15 ft.So 20-25 feet is not at all an issue with this. This is the big plus I found with the product.Experience:From this point of view, so far except the linux non-compatibility issue, I found no other flaws with this product.So overall its a great product.",1
B008IFXQFU,Arvind,5,Need to specifically install drivers - For Windows!,Reviewed in India on 24 August 2020,Took some time to recognize on windows 7!The driver request popped up!Inserted the CD> Autorun> select device> InstallFollow the WPS instructions as given in the booklet. One may need to walk to the router to press the WPS button once. Press the button on the USB device.Wait for the tower to stabilize.Re-start the computer.And you are done!Summary: Works with Windows on a home PC with standard configuration!,1
B008IFXQFU,Prem,3,Monitoring mode and packet injection is supported,Reviewed in India on 28 May 2020,TP-Link TL-WN722N  Version 3(realtek chip)It's supports monitoring mode and packet injection in Kali Linux (virtual box) with windows as a  host machine  but not working with Ubuntu as a host,2
B008IFXQFU,Jaison Thomas Joy,4,Good for Laptops With Less WiFi Signal,Reviewed in India on 24 July 2019,I have been using this for the past 3 years and it is still in good working condition. It connects well with the router and has better connection strength than the inbuilt wireless adapter in Laptops. Good for increasing the signal strength.,1
B008IFXQFU,Sahaj Sarup,1,"Not Exactly ""Compatible"" with Linux",Reviewed in India on 4 February 2019,"The up-streamed firmware with kernel 4.20 doesn't work. Quick dmesg reveals that although networks are visible, the issue occurs during authentication and the device just gives up after failing multiple times.There might be a out of tree driver available on github, but as it stands the support in vanilla Linux is broken.Tested on Fedora 29 and Arch Linux both running 4.20.FreeBSD 13-CURRENT just crashes on boot.",0
B008IFXQFU,Jeevan Chaukar,5,Initial Review - Working fine......Long term review will take more time...,Reviewed in India on 13 July 2020,"The product came with an installer CD/DVD.  Just did the installation and plugged in the product on my Windows 10 desktop. It started working fine immediately. I am mainly using my Wifi enabled printer from this desktop as it is anyway connected with the internet using direct LAN cable.Unfortunately the product is MADE IN CHINA and that's something I didn't like. However, despite many attempts, I failed to find any MADE IN INDIA substitute for this and hence went with this relatively well established name.Locally, there are quite a few other products available at a lower rate.Overall, these days Amazon is becoming costlier and one should always check in nearby shops before finalizing any purchases on Amazon. Chances are that you will save a significant % of money by buying locally.Forget the older era of Amazon where it gave major discounts compared to offline shops. Now it is the exact opposite.Amazon competitor Flipkart is nothing different - that is also costlier for many items than local shops.",1
B008IFXQFU,Amit Dabholkar,5,VERY MUCH SATISFIED WITH THE PRODUCT.,Reviewed in India on 21 January 2020,"I got my BroadBand for which I needed a wireless wifi usb receiver. After a lot of survey I decided to buy TP-LINK 150 Mbps Wireless N Nano USB Adapter. Just within two days the product was delivered via ekart. The packing was nice and rigid. When I opened the packing I found my TP-LINK 150 Mbps Wireless N Nano USB Adapter in a sealed pack.After installing the software and plugging in the adapter it was an airy breeze flowing all over.. the connectivity is awsome. Network signal is even better than some of the other products of the same price range.my neighbor uses a netgear product. we tried to compare with my signal strength with it and to my surprise i found my nano was delivering even higher network signal strength than the NetGear product without any drop.As electronic product may give different feeling to different to different people, I convey my opinion for this one as WORTH BUYING..........",1
B008IFXQFU,Ajay Reigns,5,Signal is Matter!,Reviewed in India on 5 April 2017,"I want to share one thing about signal..The wifi searching signal is very highy, So you can create hotspot on your mobile and connect to computer in more than 100m.but, creating hotspot on pc range is low,you can use wifi hotspot from this usb wifi on your house with 15 to 20m..",1
B008IFXQFU,Prasad Babu,4,Cheapest and Easiest way to have your old cpu wifi enabled,Reviewed in India on 20 April 2020,"My desktop is wifi enabled just for rupees 300/-.Its the easiest way to get your old desktop wifi enabled.Just insert the adapter at any usb port, run the disk for the software or download it from the website link provided on the manual, install the software and that's it.Its a one time installation and works just like connecting your phone or laptop to a wifi network.",1
B008IFXQFU,Jude Soosai,1,A slow device. No good range. No TP-Link driver for windows 10,Reviewed in India on 14 December 2018,"I bought this for my Win10 laptop with slow built-in wifi. Surprised to find that this version of h/w (v1) does not have a driver for Windows 10 in TP-link support page. However windows 10 seem to have detected it (may be some built-in TP-Link driver in Win10?). ( Note: In the wifi settings menu, the built-in one has to be disabled and the usb wifi has to be enabled). But the speed was way too low than the built-in wifi. Disappointed.I tried this device on Win 7 also. The downloaded driver failed to install. However managed to install it from the device management menu. Again the speed was much lower than the built-in wifi. Wondering who would need this device.",0
B008IFXQFU,Shrinivas Morje,3,"Good buy, but cannot say better",Reviewed in India on 1 August 2020,"After reading few of the reviews, I bought this device but I received BE. Further searched on YouTube I was able to find video about how to install for V3 of this device for Kali and death attacks  or packet injection sniffing, if you are beginner and learner like me, and you don't want to go for high cost as learner like me, you can definitely go for this product, but if you are expert or professional, definitely you will look for better options like Alfa adapters, the only issue I faced with this product is range of this product, it's not as expected and that reason packet sniffing is not that strong or intensive sometimes, but as I said, if you are learning, it's definitely a good option to buy. You can do all activities like death, handshake etc to learn the concepts. Just want to add, this can sniff both 2.4 and 4 ghz frequencies. Sio, I rated this 3 stars.",2
B008IFXQFU,Shashikant Das,5,Absolute fabulous product,Reviewed in India on 22 August 2020,"Absolute fabulous product. This review is being written while connected to TP-Link TL-WN821N 300Mbps Wireless N USB Adapter. Easy to install and setup. Just insert CD provided in CD drive and install software. Please note that USB-Wi-Fi adapter needs to be plugged in before installation. Amazing speeds as connected thru mobile hotspot. Same speed like in mobile, no variance. Quality packaging and affordable. Good product by TP-Link.",1
B008IFXQFU,Saptarshi C,5,Blazing fast after initial troubleshooting,Reviewed in India on 17 July 2020,"Initially it was dropping connection every now and then. The connection quality and the speed was terrible. Even after upgrading the drivers it didn't work. I was almost on the verge of returning the item. Then thought to change the USB port once, changed it from the back of the cabinet to front side USB 3.0 port. And voila!! It works super fast since then and does not drop connection too. Very handy product to give Desktop the wifi convenience.",1
B008IFXQFU,MRKR,5,Amazing product with low cost and high quality,Reviewed in India on 17 August 2017,"Amazing product with low cost and high quality. Packaged very well including the CD for driver installation and delivered the product very quick. Installation was smooth (on desktop with Windows 7) and worked as expected. No issues. Overall, a great product as a replacement if WiFi adapter for desktop as well as for laptop.",1
B008IFXQFU,Sayak Bhowal,5,Tiny workhorse and simply awesome.,Reviewed in India on 30 May 2020,I got it almost in a price of a very cheap wifi router. My expectations were not so high. But I am really surprised with its wifi signal connection strength and almost zero speed loss or signal strength loss. It's very easy to use. Just plug it in and press the ONLY button to get it started for the first tym. From the next tym don't worry your pc will do the rest .... forget that you have an external USB wifi device.5stars....It's recommended from my side. Cheers.,1
B008IFXQFU,Vignesh,3,Does few more thing than 150 Rupees Wifi Dongle-Its a Indepth Tecnical Review,Reviewed in India on 5 February 2020,"See the pictures!!!, I'm not Complaining about the dongle, almost every dongle is like this,My Wi-Fi router sits right next to my PC dongle and my router is within One Meter range, This dongle is rate for 150 Mbps but Look at the results My network is over 250 Mbps on wire, But the dongle gives 50 Mbps. I bought this for b/g/n option only so I don't care about this , My old 150 rupees dongle is n type only it can receive WI-FI but cant put hotspot that is the reason I purchase this dongle ,for connecting my mobile with my pc, this Dongle does that job well no issue,You may think My router 2.4 Ghz is weak ?? But trust me  I did do speed test with my mobile(Samsung Note 9) , it shows 90Mbps,What im saying is Wired net is Lighting fast than Wifi.If you are purchasing this dongle for Connecting your PC or Laptop ,Don't expect your Internets Full speed !!! I Don't recommend any WIFI dongle. Use wire That will be the wise choice",2
B008IFXQFU,GRC Murty,5,good product. Buy it if your laptop or pc does not have an in-built Wi-Fi card.,Reviewed in India on 24 July 2020,"I've been using it for almost a month on my Windows 10 computer, my computer does not have an in-built Wi-Fi card.Detailed review:1. Delivery- I got the package before expected delivery date and the amazon agent followed proper social distancing protocol.2. packaging- The packing was good and the box which contained the Wi-Fi adapter was sealed and the Wi-Fi adapter was well placed. the box contained the Wi-Fi adapter, quick installation guide and a CD to install the driver.3. Driver installation- I inserted the CD and downloaded and installed the driver in less than 2 minutes with the help of a YouTube video. in case you faced any problem with downloading and installation of the driver ( which I did not), the amazon page of this Wi-Fi adapter itself has a video that has detailed steps on how to troubleshoot any problem and install the driver in case the CD does not work.4. Wi-Fi adapter- I've been using it off and on since a month and it works perfectly. being a nano Wi-Fi adapter it still picks up the Wi-Fi bandwidth from the Wi-Fi modem in the other room but the Wi-Fi bandwidth decreases a bit. However, the internet works perfectly.5. Conclusion- Overall, this Wi-Fi adapter is a very good product. if your computer or laptop does not have an in-built Wi-Fi card then you can buy this product for rs.500. I would definitely recommend this product to anyone who needs to connect Wi-Fi to their laptops or computers that don't have an in-built Wi-Fi card.:)",1
B008IFXQFU,Tanmoy B.,4,A must buy,Reviewed in India on 24 September 2018,"Got this thing on a sale. Never bought a TP link before. But still went for this one. And I am surprised with the performance. It comes with a CD (still don't know why in this age?), which you will never use. Using this for a year. I plugged it on my backside of PC and set up windows. To my surprise it got detected and connected to my WIFI even during windows installation. So no need for extra drivers. Just 'plug n play'.There has been no drops just occasional once or twice in a week (bearable). Although I must say the range is a bit low, around 10ft (direct) and 5ft (through wall).I am using jio4G mobile hotspot with this and I get speed of around 20Mbps with this. No problem in connectivity. Go for it.",1
B008IFXQFU,Z5000,5,Bye Bye Low Signal Strength,Reviewed in India on 13 May 2020,"Just got this on the 13th of May, 2020. My desktop was too far away from my house Wi-Fi and both Wi-Fi card and dongle dropped the signal frequently. When they did connect, the speed was only about 20%. So I ordered this TP-Link TL-WN822N N300 Wireless High Gain USB Adapter (White) to solve this issue. All I can say now is: problem solved. In fact I'm writing this review on the very desktop to which the device has now been installed.Pros:1. Reasonable pricing (I bought this for 899 Rupees)2. Easy Installation on Windows 10: Plug and play3. Speed seems to be at about 80-90% as per my internet connection plan4. Long wire enables variety of placements for best signal strength location5. Compact and light. I was surprised it's so light.6. Stable and consistent connection.7. Driver CD provided in case you are using older operating systemsCons:Nothing really negative comes to mind on first usage. So far so good.Conclusion:If you have similar low signal strength due to long distance from the Wi-Fi router, then this is certainly an option to consider. Cheaper alternatives are available but since I've used small donlges, they are not suitable if your desktop/laptop is not in the same room as your Wi-Fi router. I was looking at the more expensive alternatives as well, but decided to go for this one as it has two antennae and costs below 1000 Rupees.",1
B008IFXQFU,Amazon Customer,4,... version ofcourse bough it at 800 and still working like a charm,Reviewed in India on 11 July 2018,the only wifi adapter with penetration test eligible with kali or any aircrack software under 1000 and the next version ofcourse bough it at 800 and still working like a charm. didn't use it for a test in a long time. but i'm sure its obsolete by now due to the increased security and computational power.,1
B008IFXQFU,Mrinmoy Karmakar,5,Plug and play,Reviewed in India on 12 January 2020,Great product. Wifi reception is good and also the speed is good too... But it works in only 2.4 ghz frequency. And amazon needs to take care of the proper details of the product. I've chacked the product description on amazon product page that says it is a 2010 product but when i received this product it says it is 2019 product and of version 5. But. Amazon didn't mentioned that on the product description. And the product reviews also of different product. Amazon please check it.,1
B008IFXQFU,Nastanir,4,"Works on windows, mac but not in Raspberry pi",Reviewed in India on 15 September 2018,"Purchased for Raspberry pi 2, did not work so returned. This is why it did not work. OS: Raspbian latest. It get recognized with identifier ID 2357:0109 but not get associated with any driver. The product I received is a Version 3 with Realtek 8192eu. Raspbian has rtl8192 driver installed. So it does not get recognized as rtl8192eu. TP-link web side has a beta source code which needs modifications (Instructions are in TP Link site) and quite a few extra installation to compile in pi. I left it at that point. Seller is fine. Supplied  the item very fast.",1
B008IFXQFU,avinash,4,Grab at good price . Good performance.,Reviewed in India on 16 September 2019,"My laptop has lost wifi receiver function internally so I had to buy this . I bought this based on some of good reviews and it's small comfortable to use . When I used first , it connects and starts working easily . WiFi signal strength is also good.  Update : after using over a month , it's working nicely . No complaints. I bought it for 479 rs when in urgency. But in lightening deal times it was 349 rs. Looks as  Fair price .",1
B008IFXQFU,Vasanth G,5,Boosts wifi signal,Reviewed in India on 23 July 2020,I have a tp link modem with D-Link range extender- still i was not able to get wifi in my laptop using inbuilt wifi adapter. I purchased this product and the result was dramatic! I am getting a full wifi- at least way better than what i used to get. The company is very thoughtful and has given a extension usb adaptor without which you will definitely use two USB adaptor space if you plug this in- it's very big to sit into one single USB space. Just check if you are going to get the USB adaptor cable or at least you have multi-port usb adaptor at home.I use it in windows 10- it was just plug and play.,1
B008IFXQFU,Amazon Customer,5,wifi strength low in my laptop / desktop,Reviewed in India on 17 July 2020,"Problem statement - wifi strength low in my laptopMy other laptop n desktop is showing full strength of signal but My office laptop is showing only 1 bar , so i researched a lot in nehru place delhi bought some products approx 2000rs as well but all.waste of money , signal strength boost only by 2 additional bar , however i came accross this product thought to try once , and here it is -For installation _ cd drive not working so download drivers from net , installed in system plug the device and press a small button on device instantly i saw wifi signal with full strengthI was shocked with such a quick n easy installation and i plug this in any laptop or desktop it is giving me full wifi/ hotspot  strength and with no difference in speedSo guys if u find similar problem like me Go for this. this a best product available in market .Moreover it catching wifi approx 300 meter in range 😂, get password and boom .",1
B008IFXQFU,Partho Sarkar,4,The replacement product is working fine,Reviewed in India on 8 July 2020,"The product is fine but when I received it, there was no seal and it was not working. After receiving the replacement I found that the Package is sealed and the product is working absolutely fine.A message to the seller that please dont send used and unsealed products.",1
B008IFXQFU,Anubhav Ranjan,5,Works fine on 2.4 ghz band 1 to 11. Plug and play on win 10,Reviewed in India on 27 July 2020,Works fine on laptop and desktop. Drivers are already there in windows 10 so no need to install anything. Simply plug and play. Signal and speed is ok. Max 60 mbps speed achieved. And this works on 2.4 ghz freq and band 1 to 11 only.For more speed you would need 5ghz dongle. Then you can get more than 100 Mbps as well.,1
B008IFXQFU,Rahul R.S,4,DO not Get confused with WIFI extender. THIS IS NOT A WIFI EXTENDER,Reviewed in India on 22 July 2020,"This item will simply receive the signal and amplify it with better Gain, and this need to be connected with a computer. It can not be plugged in to an electric socket . I had this same mistake due to the lower price.If you are looking exactly for this item this one is so better, as it is really good to increase strength.",1
B008IFXQFU,Kartikey,3,okayish,Reviewed in India on 4 August 2020,"FIRST OFF ALL, FOR THOSE WHO ARE CONFUSED THAT IT WORKS OR NOT IN LINUX, I WANT TO CLARIFY THAT IT DOES WORK BUT YOU HAVE TO FIRST CONFIGURE THE SETTINGS IF YOU ARE RUNNING A VIRTUAL MACHINE TO USE IT IN THAT. Otherwise it works without any issue normally in windows and linux both (if you running the OS normally and not in a VM)The range however bothers me, it is okayish not very great. My laptop has a built-in wifi card as well. It has a better range than this adapter. If you don't have a wifi card built-in or if it's screwed, then you can buy it.",2
B008IFXQFU,SANJAY PATEL,2,Not so Good Product,Reviewed in India on 18 July 2020,"This USB LAN CARD(device) description says about everything except how long distance this device can work or cover range for ? No where it is mentioned that it will cover 2 meter or 3 meter or 5 meter range and just says it is sleek and wireless which is the catch here. If you are looking this device for more than 2 meter distance then its better to go for LAN cable with CAT6 or more version. If you buy this device thinking it would look sleek and wireless then believe me its total waste of money even though the device is working. Moreover, there is no option of returning this device and is just replaceable. What's the point of replacing the device if the device is working but of no use. It will be just lying in your drawer. So to sum-up, if u are looking for 1.5 to 2 meter range or more Wi-Fi connectivity then better go for LAN Cable with CAT6 or higher version which will cost lower or similar to this device.",0
B008IFXQFU,Prince Chandel,5,A decent Buy,Reviewed in India on 30 June 2020,"A decent product at Rs. 499 got on 30 Jun 2020. Wifi receiver range is pretty good can catch signal from 20 metres.  Its 150mbps so you can't expect a high speed internet for hd or full hd streaming. Its for surfing and watching max 480p videos. Works fine with Windows 8.1. Haven't tried it on windows 10. It's usb 2.0.  You have to first install driver through disk provided in pack.Pros- Has Good Range for receiving signals.- Affordable and Branded.( Don't buy cheap stuffs if you are looking for long run).- Isn't visible. Dude, It's so tiny and looks good.Cons- Might be having heating problem if you use for long hours. I hardly use it for 3 hrs continuously.But overall you can buy it if you want it for normal errands and want something branded and durable below Rs 500.",1
B008IFXQFU,Jignesh Rathod,5,"Works well, reliable brand",Reviewed in India on 24 November 2018,"I searched for lot of other brands, but finally purchased TP link. There are other brands providing the product at very low, attractive price, but I would recommend not to compromise with quality and reliability for a few bucks. I have been using this since a few months and it's working well. Performance is far better than in-built Wi fi receivers coming with laptops - because laptop brands always compromise with quality of ""in-built"" items due to cost and competition.+1 for ease. Simply plug-and-play. I used it in Windows 10, and it started immediately. No need to download/install any additional drivers/software. Highly recommended.",1
